,n,k,t,speed,g
208,1023,288,95,0.28152492668621704,F070836CDC3BF9D69275563A8B48DD15211E6011861CB79AA04A442969DF7B5FCB86244C16D63F39FE37C18A551C452529715EC735156DB33E302C552DB5ACFD5CC3D959ED3576F90B37BA07B17B0A1BFD6087F18609F5E7BE45076D
209,1023,278,102,0.27174975562072334,2B892A1684026EA94DB8B834A3608A34F94C7241F687D1C35557F58493B3C1A95CD52CF2B64E8D01A9C47179AE47CA9DA987E785C432658C0C293E4E2F492CA70BB2267468F883755FCC3404F445519A6D714AC2A881E9B528F6B22299D
210,1023,268,103,0.2619745845552297,BAC0EF7FDDA498372185B0C124CCC80663564723ECF31910A0A16B62AE3FAC3E6C3DF3A10075D5797C47924229BC3933396ADAC152BD6174C2C554AF098BB6DF7A50CDB2A86081F1E5C8FFED81890BDAFEA197E2A4FADF79419F3FDC58CCF
211,1023,258,106,0.25219941348973607,33AE75C3596BA24F899176C200D04D27B9D12762669D722BD2F5A0F31DD8C8AE3E829711414416F1651172D79F117A7F105733303465614933FE780943E3468C7DDCE668B5EA07F72ADED8483B7112FE6B85EEBE76803FBD4E4B048D369C87E3
212,1023,248,107,0.24242424242424243,E633FE43FAC6A1863F5339EA75F3A946ACE4C17E5C5098B4EF961AAF5842ADD7BB963AAC492BEBAFCD0AAFCE91748146519755972D7B8674640CB2E0287AF46C84F440814F98D598C64EAD62D12CDAF7E7085CB541875CD02906A19E5A2652578D
213,1023,238,109,0.23264907135874877,311C5B45BD01D65CC9C6376B23C0F5E7EDA35D8D6B6ECF5B30F18280AD1395B75A8CC9C246C7DE65949C9184580A32055B362D4E77CAA57D73EDDBAFE788B7B9129451E947E8B6B513C5CD559C5FD6BD783AB03F0FA28ED3E4C96A5BA4AB2DE3AD9AD
214,1023,228,110,0.22287390029325513,E968ABAC13A34CCB651EA365D95A8E33F61162A6EE89B8313CE91C2CD562CD640E8E3509C27F37C6AE4ABC627C3E5DD04B22AEEA87490340EA03BD0E583C62071372C745E44507853BF91071303FC1C90AF03AE960853D3A8B9F4FCEAC0C29BC7C97435
215,1023,218,111,0.2130987292277615,2AD75DFE37334B8A4C402C16E6E552F0BACD5F984CD6C196152B023F2985C89152E9B1AB2E4143F55795F2EAEBDEA2F2BB585FE1823E4D93FE590F9ED87A02FC6F23F2D81F0486A39124A95DF370288DE679ED8674FD603EC5655AD57BE2B79A5F0904108D
216,1023,208,115,0.20332355816226785,FB28AD9172A62E294375AD68C7FE3464BBA792835A13D081721EEBCFD3A3989F1031DCB887D8E40D7B87521A64F8BE58F4ECF2995B48A3A1A61A3D84EFAADC5FE2FFFCB2F9989181392AD4EBBF7046B753A4CEFE6B37E4618223859437A78FC77AF415F56D19
217,1023,203,117,0.198435972629521,1603A3F1017C7C248D87DCE76BF7D63554DF5F5BC1DDEDEDB164E7A729A7B2F74AB4FADC95303CCD04982C04175A501EBF6903F9DFEA02B7C1781BC279425FC81D40FFBD306CF616BE35DE09AD231E43FC271E14DA3165C586F13049D86B5DEAEAA97F704FAD53
